"idConfiguration","ACK","BIB","BOLD_ACK","BREF","EMAIL","JS_FOOTNOTESIZE","JS_SCRIPTSIZE","JS_STYLE","JS_TINY","LONG_ACK","LONG_AFFILIATION","PARAGRAPH_ACK","PL_FOOTNOTE","VARY_LATEX","bref_size","cserver_size","vspace_bib","nbPages","sizePDF"
"493","false","true","false","true","false","false","false","true","true","false","false","false","false","true","0.7","0.7","0.3","4","216"
"127","true","true","true","true","true","false","false","true","true","true","true","false","true","true","1.0","0.8","2.4","5","220"
"353","true","true","false","true","false","false","false","true","true","true","false","true","false","true","0.7","0.7","1.8","4","224"
"240","true","true","false","true","true","false","true","true","false","false","true","true","false","true","0.9","0.9","5.0","5","224"
"247","true","true","true","true","false","false","false","true","true","false","false","false","true","true","0.7","0.7","3.5","4","216"
"319","false","true","false","true","true","false","true","true","false","false","true","false","false","true","1.0","0.9","0.5","5","216"
"231","true","true","false","true","false","false","false","true","true","false","true","true","true","true","0.8","0.9","1.7","5","224"
"31","false","true","false","true","false","false","true","true","false","false","true","false","true","true","1.0","0.9","1.9","5","216"
"456","true","true","true","true","true","false","false","true","true","false","true","false","true","true","0.8","0.8","1.7","4","220"
"159","true","true","false","true","false","false","true","true","false","true","false","true","false","true","0.9","0.9","4.6","5","224"
"286","true","true","false","true","false","false","false","true","true","true","false","true","false","true","0.9","0.7","1.3","4","224"
"359","true","true","false","true","false","false","false","true","true","true","false","true","false","true","1.0","0.7","1.8","4","224"
"411","true","true","false","true","false","false","true","true","false","false","false","true","false","true","0.8","0.8","1.8","5","224"
"439","true","true","false","true","false","false","true","true","false","false","false","true","true","true","1.0","0.7","0.9","5","224"
"18","true","true","true","true","false","false","true","true","false","false","false","false","false","true","0.9","0.9","4.8","5","216"
"120","false","true","false","true","false","false","true","true","false","false","false","false","true","true","0.7","0.9","4.9","5","216"
"372","true","true","false","true","false","false","false","true","true","false","false","true","false","true","1.0","0.7","4.1","4","224"
"22","false","true","false","true","true","false","true","true","false","false","true","false","false","true","0.8","0.9","1.5","5","216"
"257","true","true","false","true","false","false","false","true","true","true","false","true","false","true","0.9","0.9","1.2","4","224"
"345","false","true","false","true","false","false","false","true","true","false","true","false","true","true","0.8","0.8","4.8","4","216"
"212","true","true","true","true","false","false","false","true","true","true","false","false","false","true","0.7","0.8","1.8","4","216"
"39","true","true","false","true","false","false","true","true","false","true","false","true","false","true","1.0","0.7","3.2","5","224"
"351","true","true","true","true","false","false","true","true","false","false","false","false","false","true","0.8","0.7","2.5","4","216"
"152","false","true","false","true","false","false","false","true","true","false","false","false","true","true","0.9","0.8","4.7","4","216"
"293","true","true","true","true","false","false","false","true","true","true","true","false","false","true","1.0","0.7","4.2","4","216"
"109","true","true","false","true","false","false","true","true","false","true","false","true","true","true","0.7","0.8","1.2","5","224"
"262","true","true","true","true","true","false","false","true","true","false","true","false","true","true","0.7","0.7","3.1","4","220"
"77","true","true","true","true","true","false","true","true","false","true","true","false","true","true","0.9","0.7","3.7","5","220"
"167","true","true","false","true","false","false","true","true","false","false","false","true","false","true","1.0","0.7","2.2","5","224"
"382","true","true","true","true","true","false","true","true","false","false","true","false","true","true","0.9","0.9","3.0","5","220"
"407","true","true","false","true","false","false","true","true","false","true","false","true","false","true","1.0","0.8","1.8","5","224"
"100","true","true","false","true","false","false","false","true","true","true","false","true","false","true","0.7","0.9","2.3","4","224"
"122","true","true","true","true","false","false","true","true","false","true","false","false","false","true","0.8","0.8","1.1","5","216"
"168","true","true","true","true","false","false","false","true","true","true","false","false","false","true","0.8","0.9","2.1","4","216"
"118","true","true","false","true","false","false","true","true","false","false","false","true","true","true","0.9","0.9","4.9","5","224"
"379","true","true","true","true","false","false","false","true","true","true","false","false","true","true","0.7","0.7","4.7","4","216"
"337","true","true","true","true","false","false","true","true","false","true","false","false","true","true","1.0","0.9","1.9","5","216"
"68","true","true","false","true","true","false","true","true","false","false","true","true","false","true","0.8","0.7","2.8","5","224"
"275","true","true","false","true","true","false","false","true","true","false","true","true","true","true","0.7","0.8","3.0","4","224"
"322","true","true","false","true","false","false","true","true","false","true","false","true","false","true","0.7","0.9","4.5","5","224"
"370","true","true","true","true","true","false","true","true","false","true","true","false","true","true","0.7","0.9","1.5","5","220"
"290","false","true","false","true","false","false","true","true","false","false","true","false","false","true","0.9","0.9","0.8","5","216"
"280","true","true","true","true","false","false","false","true","true","false","true","false","true","true","0.7","0.7","2.5","4","216"
"428","true","true","false","true","false","false","false","true","true","true","true","true","false","true","0.9","0.7","2.4","4","224"
"329","true","true","true","true","false","false","false","true","true","false","false","false","false","true","1.0","0.9","2.8","4","216"
"10","true","true","true","true","true","false","true","true","false","false","true","false","true","true","1.0","0.8","1.7","5","220"
"395","true","true","true","true","true","false","false","true","true","true","true","false","false","true","1.0","0.9","4.3","4","216"
"36","true","true","true","true","false","false","true","true","false","true","true","false","true","true","0.8","0.7","4.9","5","216"
"105","true","true","false","true","false","false","false","true","true","false","false","true","false","true","0.8","0.7","2.4","4","224"
"115","true","true","false","true","false","false","true","true","false","true","true","true","false","true","1.0","0.7","0.1","5","228"
"66","true","true","false","true","true","false","false","true","true","true","true","true","false","true","0.9","0.9","0.1","4","224"
"114","false","true","false","true","true","false","false","true","true","false","true","false","true","true","1.0","0.7","3.2","4","216"
"343","true","true","false","true","false","false","true","true","false","true","false","true","true","true","1.0","0.7","1.6","5","224"
"232","true","true","false","true","true","false","false","true","true","true","true","true","false","true","1.0","0.7","4.7","4","224"
"2","true","true","true","true","true","false","true","true","false","true","true","false","false","true","1.0","0.9","3.0","5","220"
"489","false","true","false","true","false","false","true","true","false","false","true","false","true","true","0.7","0.9","4.1","5","220"
"164","true","true","false","true","false","false","true","true","false","true","true","true","false","true","0.9","0.8","3.4","5","224"
"70","true","true","true","true","false","false","false","true","true","false","false","false","false","true","0.9","0.9","1.6","4","216"
"207","true","true","false","true","false","false","false","true","true","true","false","true","true","true","1.0","0.7","3.3","4","224"
"38","true","true","false","true","false","false","true","true","false","true","false","true","true","true","0.8","0.8","3.8","5","224"
"206","true","true","true","true","false","false","false","true","true","false","false","false","true","true","0.9","0.7","2.5","4","216"
"323","true","true","true","true","true","false","true","true","false","false","true","false","true","true","1.0","0.7","0.5","5","220"
"307","false","true","false","true","false","false","false","true","true","false","false","false","false","true","1.0","0.9","3.8","4","216"
"440","true","true","true","true","false","false","true","true","false","true","false","false","false","true","1.0","0.9","2.7","5","216"
"171","true","true","false","true","false","false","false","true","true","false","false","true","true","true","0.7","0.9","2.5","4","224"
"107","true","true","false","true","false","false","true","true","false","false","true","true","true","true","1.0","0.8","1.4","5","224"
"366","true","true","false","true","false","false","false","true","true","true","false","true","false","true","0.7","0.7","4.1","4","224"
"49","true","true","false","true","true","false","false","true","true","true","true","true","false","true","1.0","0.7","5.0","4","224"
"27","true","true","true","true","false","false","false","true","true","false","false","false","true","true","0.8","0.8","3.2","4","216"
"459","true","true","false","true","false","false","false","true","true","false","false","true","true","true","0.9","0.9","1.8","5","224"
"187","true","true","false","true","true","false","true","true","false","false","true","true","true","true","0.7","0.7","1.1","5","228"
"398","false","true","false","true","false","false","false","true","true","false","false","false","true","true","0.8","0.8","3.1","4","216"
"387","true","true","true","true","false","false","false","true","true","false","false","false","false","true","0.9","0.7","4.3","4","216"
"136","true","true","true","true","false","false","true","true","false","false","false","false","false","true","0.7","0.7","0.2","4","216"
"296","true","true","true","true","false","false","true","true","false","false","false","false","false","true","0.8","0.8","2.9","5","216"
"354","true","true","false","true","false","false","false","true","true","false","false","true","false","true","1.0","0.8","3.4","4","224"
"339","true","true","false","true","false","false","true","true","false","false","false","true","true","true","0.8","0.9","0.3","5","224"
"60","false","true","false","true","true","false","false","true","true","false","true","false","true","true","0.9","0.9","1.1","4","216"
"383","true","true","true","true","true","false","false","true","true","false","true","false","false","true","0.9","0.8","4.9","4","216"
"287","true","true","false","true","false","false","false","true","true","true","false","true","false","true","0.7","0.9","1.6","4","224"
"346","true","true","true","true","false","false","false","true","true","false","true","false","false","true","0.8","0.7","1.8","4","216"
"434","true","true","false","true","true","false","false","true","true","true","true","true","false","true","0.8","0.7","4.7","4","224"
"190","true","true","false","true","true","false","true","true","false","true","true","true","false","true","0.7","0.9","0.6","5","224"
"234","true","true","false","true","true","false","false","true","true","true","true","true","false","true","1.0","0.7","2.1","4","224"
"491","true","true","false","true","false","false","true","true","false","false","false","true","true","true","1.0","0.9","1.0","5","224"
"106","true","true","true","true","false","false","false","true","true","true","true","false","false","true","0.9","0.8","1.3","4","216"
"174","true","true","true","true","false","false","false","true","true","false","false","false","true","true","0.9","0.7","2.2","4","216"
"217","false","true","false","true","false","false","false","true","true","false","false","false","false","true","0.9","0.9","4.8","4","216"
"259","true","true","true","true","false","false","true","true","false","false","false","false","false","true","0.8","0.7","3.5","4","216"
"155","true","true","false","true","true","false","false","true","true","true","true","true","false","true","1.0","0.7","4.4","4","224"
"116","true","true","true","true","false","false","false","true","true","true","false","false","false","true","0.8","0.9","3.5","4","216"
"69","true","true","true","true","false","false","false","true","true","true","false","false","false","true","1.0","0.8","0.6","4","216"
"316","true","true","true","true","true","false","false","true","true","false","true","false","true","true","0.7","0.8","0.5","4","220"
"313","false","true","false","true","false","false","false","true","true","false","false","false","true","true","0.7","0.7","2.5","4","216"
"470","true","true","true","true","false","false","false","true","true","true","true","false","true","true","1.0","0.9","0.1","5","216"
"145","true","true","false","true","true","false","false","true","true","false","true","true","false","true","1.0","0.7","2.0","4","224"
"412","true","true","false","true","true","false","true","true","false","true","true","true","true","true","0.9","0.9","0.1","5","228"
"131","true","true","false","true","true","false","false","true","true","true","true","true","true","true","1.0","0.8","2.0","5","224"
"228","false","true","false","true","false","false","false","true","true","false","true","false","false","true","0.8","0.9","3.9","4","216"
"476","true","true","true","true","true","false","false","true","true","false","true","false","false","true","0.8","0.7","2.2","4","216"
"64","true","true","true","true","true","false","true","true","false","true","true","false","true","true","0.8","0.8","1.6","5","220"
"178","true","true","true","true","false","false","false","true","true","true","false","false","true","true","0.9","0.7","1.0","4","216"
"229","true","true","true","true","false","false","false","true","true","false","false","false","true","true","0.9","0.8","4.5","4","216"
"282","true","true","false","true","false","false","false","true","true","true","false","true","false","true","0.8","0.7","2.7","4","224"
"244","true","true","true","true","false","false","true","true","false","true","false","false","true","true","0.9","0.9","1.9","5","216"
"67","false","true","false","true","true","false","false","true","true","false","true","false","false","true","1.0","0.7","0.8","4","216"
"344","true","true","true","true","false","false","true","true","false","false","true","false","false","true","0.9","0.8","1.5","5","216"
"226","true","true","true","true","false","false","false","true","true","true","false","false","false","true","0.8","0.9","3.1","4","216"
"103","true","true","true","true","false","false","true","true","false","false","false","false","false","true","0.9","0.9","0.4","5","216"
"381","true","true","true","true","false","false","false","true","true","true","false","false","true","true","0.9","0.8","2.3","4","216"
"333","true","true","true","true","false","false","true","true","false","true","false","false","true","true","0.9","0.7","3.1","5","216"
"365","true","true","true","true","false","false","true","true","false","true","false","false","false","true","1.0","0.8","0.1","5","216"
"135","true","true","false","true","true","false","true","true","false","true","true","true","true","true","0.8","0.8","0.8","5","228"
"237","true","true","true","true","true","false","true","true","false","true","true","false","false","true","0.9","0.7","3.8","4","216"
"338","true","true","false","true","false","false","false","true","true","true","false","true","false","true","1.0","0.7","1.4","4","224"
"51","true","true","false","true","false","false","false","true","true","true","false","true","true","true","0.9","0.7","1.6","4","224"
"294","true","true","true","true","false","false","false","true","true","true","true","false","true","true","0.9","0.9","2.3","5","216"
"467","true","true","false","true","false","false","false","true","true","true","false","true","true","true","0.7","0.7","3.3","4","224"
"248","true","true","false","true","true","false","true","true","false","true","true","true","true","true","0.9","0.8","1.3","5","228"
"23","true","true","true","true","false","false","true","true","false","true","false","false","false","true","1.0","0.7","3.5","5","220"
"251","false","true","false","true","false","false","true","true","false","false","false","false","false","true","0.8","0.7","0.3","4","216"
"242","false","true","false","true","false","false","true","true","false","false","true","false","true","true","0.9","0.9","3.9","5","216"
"409","true","true","false","true","false","false","false","true","true","true","false","true","false","true","0.7","0.7","3.5","4","224"
"309","true","true","true","true","true","false","false","true","true","true","true","false","false","true","0.7","0.7","0.5","4","216"
"142","true","true","true","true","true","false","false","true","true","true","true","false","true","true","0.9","0.7","0.7","4","220"
"303","true","true","true","true","false","false","false","true","true","false","false","false","true","true","1.0","0.8","0.3","4","216"
"6","true","true","true","true","false","false","false","true","true","true","true","false","false","true","0.9","0.7","0.0","4","216"
"28","true","true","false","true","false","false","true","true","false","false","false","true","true","true","0.9","0.8","3.2","5","224"
"52","true","true","false","true","true","false","true","true","false","true","true","true","false","true","0.8","0.8","0.8","5","228"
"216","true","true","true","true","true","false","false","true","true","false","true","false","true","true","1.0","0.7","0.9","4","220"
"177","true","true","true","true","false","false","false","true","true","false","true","false","true","true","1.0","0.9","3.9","5","216"
"111","true","true","false","true","false","false","false","true","true","true","false","true","true","true","0.7","0.9","2.6","5","224"
"269","true","true","true","true","true","false","false","true","true","false","true","false","false","true","0.7","0.8","3.0","4","220"
"213","true","true","true","true","false","false","true","true","false","true","false","false","false","true","1.0","0.9","2.2","5","216"
"362","true","true","false","true","false","false","false","true","true","true","true","true","true","true","1.0","0.9","3.7","5","224"
"26","true","true","true","true","false","false","true","true","false","false","false","false","true","true","0.7","0.8","0.2","5","216"
"223","true","true","false","true","true","false","true","true","false","true","true","true","false","true","1.0","0.9","3.2","5","224"
"499","true","true","true","true","false","false","true","true","false","false","true","false","false","true","0.7","0.7","2.3","4","216"
"298","true","true","false","true","true","false","true","true","false","true","true","true","false","true","0.7","0.8","0.9","5","224"
"347","true","true","false","true","false","false","true","true","false","true","false","true","false","true","1.0","0.9","2.9","5","224"
"57","true","true","true","true","false","false","true","true","false","false","false","false","false","true","0.9","0.8","1.3","5","216"
"481","true","true","false","true","false","false","false","true","true","true","false","true","true","true","0.7","0.7","3.4","4","224"
"482","true","true","true","true","false","false","false","true","true","false","false","false","true","true","0.8","0.8","1.9","4","216"
"422","false","true","false","true","false","false","true","true","false","false","true","false","true","true","0.8","0.9","4.9","5","216"
"401","true","true","false","true","true","false","true","true","false","true","true","true","false","true","1.0","0.8","0.1","5","224"
"341","true","true","false","true","false","false","true","true","false","false","true","true","false","true","0.8","0.8","0.4","5","224"
"219","true","true","true","true","false","false","false","true","true","true","true","false","false","true","0.8","0.8","4.4","4","216"
"377","true","true","true","true","false","false","false","true","true","true","false","false","false","true","0.7","0.9","2.4","4","216"
"355","true","true","true","true","false","false","true","true","false","true","true","false","false","true","0.8","0.7","3.9","4","216"
"291","true","true","true","true","true","false","true","true","false","false","true","false","false","true","0.9","0.8","2.4","5","220"
"40","true","true","false","true","false","false","false","true","true","true","true","true","false","true","0.7","0.7","4.8","4","224"
"224","true","true","false","true","false","false","false","true","true","true","false","true","true","true","1.0","0.7","2.7","4","224"
"29","true","true","true","true","true","false","true","true","false","false","true","false","false","true","0.9","0.8","0.5","5","220"
"80","false","true","false","true","false","false","false","true","true","false","false","false","false","true","1.0","0.9","3.3","4","216"
"304","false","true","false","true","false","false","false","true","true","false","false","false","false","true","0.9","0.8","1.4","4","216"
"47","false","true","false","true","false","false","false","true","true","false","true","false","true","true","0.7","0.9","3.7","4","216"
"204","true","true","false","true","false","false","true","true","false","true","true","true","false","true","0.9","0.8","4.9","5","224"
"465","true","true","true","true","false","false","true","true","false","true","false","false","false","true","0.8","0.9","1.1","5","216"
"79","true","true","false","true","false","false","true","true","false","true","true","true","true","true","0.9","0.8","2.1","5","228"
"196","true","true","true","true","false","false","true","true","false","false","true","false","true","true","0.9","0.9","0.1","5","216"
"438","true","true","false","true","false","false","false","true","true","true","true","true","false","true","1.0","0.8","3.5","4","224"
"433","true","true","false","true","false","false","false","true","true","true","false","true","false","true","1.0","0.7","1.1","4","224"
"500","true","true","true","true","true","false","false","true","true","true","true","false","true","true","1.0","0.8","0.0","5","220"
"279","true","true","false","true","false","false","false","true","true","true","false","true","false","true","0.7","0.7","3.2","4","224"
"349","true","true","false","true","false","false","true","true","false","true","false","true","false","true","1.0","0.9","0.5","5","224"
"208","false","true","false","true","false","false","false","true","true","false","false","false","true","true","0.8","0.7","2.4","4","216"
"11","true","true","true","true","true","false","false","true","true","false","true","false","false","true","0.8","0.9","0.9","4","220"
"417","true","true","false","true","false","false","true","true","false","true","true","true","true","true","0.9","0.9","4.9","5","224"
